url,creator_id,creator_name,project_name,project_description,status,staff_pick,country,location_name,location_slug,location_type,location_state,created_at,deadline,launch,goal,pledged,percent_funded,currency,backers
https://www.kickstarter.com/projects/1694946637/hotfrog-worlds-first-global-impact-cooperative-wor,1694946637,Laurie Lane-Zucker,"Hotfrog: World's First Global Impact ""Cooperative Worldzine""","Hotfrog.org is a global impact, ""cooperative worldzine"" for the burning issues of our time and entrepreneur inspired solutions.",failed,False,US,"Great Barrington, MA",great-barrington-ma,Town,MA,2012-04-30T12:18:26,2012-06-06T16:00:52,2012-05-07T16:00:52,100000.0,6308.0,6.308,USD,117
https://www.kickstarter.com/projects/790247131/rockitfuel-radio,790247131,Joshua Johnson,RockItFuel Radio,"Uplifting stories, inspiring interviews and insightful ideas for your heart, your mind and your life.",failed,False,US,"San Francisco, CA",san-francisco-ca,Town,CA,2013-04-19T16:30:21,2013-06-13T01:24:01,2013-05-14T01:24:01,100000.0,1771.0,1.771,USD,20
https://www.kickstarter.com/projects/170312507/vir-magazine-the-next-generation-in-mens-lifestyle,170312507,Kevin R Middleton,"VIR Magazine, The next Generation in Mens Lifestyle","VIR Magazine is the Mens Lifestyle Magazine that the reader controls.  You pick the topics, we print the articles!",failed,False,US,"Philadelphia, PA",philadelphia-pa,Town,PA,2013-06-14T18:53:42,2013-09-24T21:25:12,2013-08-20T21:25:12,100000.0,1430.0,1.43,USD,10
https://www.kickstarter.com/projects/mediahammerink/emergency-statement-a-crazy-social-art-and-discove,1303931735,@mediahammerINK,Emergency Statement: a crazy social art & discovery project.,Community powered investigations! Experimental journalism! Truth bombs! Y Files! No special interests! DIY+U2!,failed,False,US,"Detroit, MI",detroit-mi,Town,MI,2014-01-22T00:55:34,2014-02-25T03:00:00,2014-02-12T18:02:44,100000.0,4298.0,4.298,USD,38
https://www.kickstarter.com/projects/1294382592/the-charta-inform-not-notify,1294382592,The Charta,"The Charta: Inform, Not Notify.",Journalism today is too fast to be good. The Charta is a slow news website that gives events the time to unfold.,failed,False,GB,"London, UK",london-gb,Town,England,2014-03-04T15:27:12,2014-04-26T12:43:50,2014-03-25T12:43:50,325000.0,882.0,0.2713846153846154,GBP,25
https://www.kickstarter.com/projects/1965572109/anonymous-thank-yous,1965572109,Michael McCarlie,Anonymous Thank Yous,Highlight the good around us and in us—one thank you at a time,failed,False,US,"Salt Lake City, UT",salt-lake-city-ut,Town,UT,2014-08-20T02:11:38,2014-09-12T17:37:48,2014-08-22T17:37:48,160000.0,4557.0,2.848125,USD,39
https://www.kickstarter.com/projects/mhenderson/worcester-sun-something-new-in-local-journalism,1910984873,Mark Henderson,"Worcester Sun, something new in local journalism","We are launching the Worcester Sun, a brand new Sunday newspaper for the Worcester region along with a kickass digital news site.",failed,False,US,"Worcester, MA",worcester-ma,Town,MA,2015-01-05T19:56:34,2015-03-01T12:42:07,2015-01-30T12:42:07,150000.0,7891.0,5.260666666666667,USD,50
https://www.kickstarter.com/projects/501695333/outrun-lift-and-fetch-one-man-one-dog-and-1-year-t,501695333,Annemarie Holland,"Outrun, Lift & Fetch -One Man, One Dog and 1 Year to the Top","Battling crazy sheep, rough terrain and S4 mRCC, BC trainer Vergil Holland hits the road for 1 year to trial his way to the top!",failed,False,US,"Paris, KY",paris-ky,Town,KY,2015-02-05T01:13:24,2015-03-12T18:06:57,2015-02-10T19:06:57,115000.0,6042.0,5.253913043478261,USD,49
https://www.kickstarter.com/projects/559199075/the-most-fatal-ailment-a-documentary-film,559199075,Christopher Petitt,"""The Most Fatal Ailment"": An Exposé on Financial Inequality",Produce and promote a journalistic exposé about the dangers of severe financial inequality and its historical links to global conflict.,failed,False,US,"Portland, OR",portland-or,Town,OR,2015-12-04T17:58:39,2016-05-15T14:50:37,2016-03-31T14:50:37,100000.0,2745.0,2.7449999999999997,USD,10
https://www.kickstarter.com/projects/450948393/fit-project-radio-going-worldwide,450948393,Brett Richard,Fit Project Radio going Worldwide,"Here in Southwest Florida, Fit Project Radio has become wildly popular with over 56,000 listeners, viewers, and followers! Time to Grow",failed,False,US,"Naples, FL",naples-fl,Town,FL,2016-02-24T20:27:00,2016-05-13T18:52:08,2016-04-13T18:52:08,100000.0,1501.0,1.5010000000000001,USD,11
https://www.kickstarter.com/projects/1878480213/guitar-connoisseur-magazine,1878480213,Kelcey Alonzo,Guitar Connoisseur Magazine,"Guitar Connoisseur is seeking to raise funds to bring you more luthier and Guitarist based stories, and to help grow our readership",failed,False,US,"New York, NY",new-york-ny,Town,NY,2016-12-05T14:47:11,2017-01-05T14:47:00,2016-12-05T16:48:06,150000.0,1500.0,1.0,USD,18
https://www.kickstarter.com/projects/latus/latus-news-as-it-should-be,1307286741,De Vos Meaker,LATUS - News As It Should Be,Independent news analyser providing truly objective reports in a short and original format. - Battling Bias and Empowering the Reader.,failed,False,NL,"Amsterdam, Netherlands",amsterdam-nl,Town,North Holland,2016-11-24T11:20:06,2017-01-19T22:59:00,2016-12-14T14:20:04,110000.0,2200.0,2.0,EUR,20
